city,lat,lng,country,iso2,admin,capital,population,population_proper
Toronto,43.666667,-79.416667,Canada,CA,Ontario,admin,5213000,3934421
Montreal,45.5,-73.583333,Canada,CA,Quebec,,3678000,2356556
Vancouver,49.25,-123.133333,Canada,CA,British Columbia,,2313328,603502
Ottawa,45.416667,-75.7,Canada,CA,Ontario,primary,1145000,812129
Calgary,51.083333,-114.083333,Canada,CA,Alberta,,1110000,915322
Edmonton,53.55,-113.5,Canada,CA,Alberta,admin,1058000,712391
Hamilton,43.256101,-79.857484,Canada,CA,Ontario,,721053,519949
Winnipeg,49.883333,-97.166667,Canada,CA,Manitoba,admin,632063,575313
Quebec,46.8,-71.25,Canada,CA,Quebec,admin,624177,528595
Oshawa,43.9,-78.866667,Canada,CA,Ontario,,450963,247989
Kitchener,43.446976,-80.472484,Canada,CA,Ontario,,417001,409112
Halifax,44.65,-63.6,Canada,CA,Nova Scotia,admin,359111,222874
London,42.983333,-81.25,Canada,CA,Ontario,,346765,335035
Windsor,42.301649,-83.030744,Canada,CA,Ontario,,319246,210891
Victoria,48.450234,-123.343529,Canada,CA,British Columbia,admin,289625,251358
Saskatoon,52.133333,-106.666667,Canada,CA,Saskatchewan,,198958,189193
Barrie,44.383333,-79.7,Canada,CA,Ontario,,182041,119732
Regina,50.45,-104.616667,Canada,CA,Saskatchewan,admin,176183,176183
Sudbury,46.5,-80.966667,Canada,CA,Ontario,,157857,80507
Abbotsford,49.05,-122.3,Canada,CA,British Columbia,,151683,151683
Sarnia,42.978417,-82.388177,Canada,CA,Ontario,,144172,82998
Sherbrooke,45.4,-71.9,Canada,CA,Quebec,,139652,129447
Saint Johns,47.55,-52.666667,Canada,CA,Newfoundland and Labrador,admin,131469,99182
Kelowna,49.9,-119.483333,Canada,CA,British Columbia,,125109,95306
Kingston,44.3,-76.566667,Canada,CA,Ontario,,114195,102400
Thunder Bay,48.4,-89.233333,Canada,CA,Ontario,,99334,97374
Moncton,46.09652,-64.79757,Canada,CA,New Brunswick,,90635,87467
